.interval,.observations,.portfolio_tickers,id_carteira,.market_ticker,shapiro_w,shapiro_p,adf_stat,adf_lag_order,adf_p
week,13,,9,^BVSP,0.9511339221457932,2.020021152377162e-7,-3.2493748376213674,6,0.08014863817421655
week,26,,9,^BVSP,0.9219972757113352,8.231835734178734e-10,-2.439959431322605,6,0.3909261455291202
week,52,,9,^BVSP,0.8575916694413583,4.4308142776826e-13,-2.172176941993852,5,0.5038527301845989
week,104,,9,^BVSP,0.9373031845280211,1.930703837929479e-6,-2.1587078269493647,5,0.5101708216618931
month,3,,9,^GSPC,0.9281961637541833,0.004725193963602002,-4.341226171257329,3,0.01
month,6,,9,^GSPC,0.9596400260511195,0.10410543170852431,-2.1759270320142554,3,0.5039342370933432
month,12,,9,^GSPC,0.9726409675561215,0.4187365120040012,-2.4646867253947877,3,0.3907820155772713
month,24,,9,^GSPC,0.8790783526530447,0.0032051394832179124,-2.9064463340467115,3,0.22511162198707635
week,13,,9,^GSPC,0.9846365294035452,0.019186345678113708,-3.4873942404067773,5,0.04501943572983842
week,26,,9,^GSPC,0.9687602678773386,1.7590216230092736e-4,-2.9516002342129712,5,0.17741925671848716
week,52,,9,^GSPC,0.9062409806604385,3.520503929808691e-9,-3.4636502480836975,5,0.04779672850015154
week,104,,9,^GSPC,0.8036471156737102,1.225665493020301e-11,-3.3504355200150773,4,0.06606074666415379
month,3,,10,^BVSP,0.4937138399354448,9.899339680116943e-13,-3.9782677185279227,3,0.016888714432448316
month,6,,10,^BVSP,0.9648460611548049,0.11364850925117757,-2.864265569516275,3,0.22643352013037665
month,12,,10,^BVSP,0.9554481976705506,0.0661117671396788,-2.4693078985319077,3,0.38669812358949385
month,24,,10,^BVSP,0.9417287692547816,0.05751142252056984,-3.4244977046593896,3,0.0696951010669492
week,13,,10,^BVSP,0.8539247274575927,1.3257676139063821e-14,-5.383917838389632,6,0.01
week,26,,10,^BVSP,0.9699289115329297,6.727973812413408e-5,-2.819206099004928,6,0.2314950713589371
week,52,,10,^BVSP,0.9809948450481697,0.0061778320059254046,-4.224821532968502,5,0.01
week,104,,10,^BVSP,0.9802401824976673,0.02308015005810246,-3.0906474841864813,5,0.121579283149596
month,3,,10,^GSPC,0.6581618801461155,1.5799061358103144e-9,-4.020656215317351,3,0.01588379606523141
month,6,,10,^GSPC,0.9558971593324714,0.07395643114535617,-2.5031128858091733,3,0.37355533540180386
month,12,,10,^GSPC,0.8922643050142909,9.879450513508123e-4,-1.531178215550949,3,0.7579436713663917
month,24,,10,^GSPC,0.8789856814934717,0.003189822946907703,-3.219532902443607,3,0.10508610218761477
week,13,,10,^GSPC,0.962029638167558,1.585864279801434e-5,-3.198018649738133,5,0.08944133615475562
week,26,,10,^GSPC,0.9201230854251046,4.861800457223059e-9,-2.216663037154131,5,0.4853108348746833
week,52,,10,^GSPC,0.9055005299862942,3.1624858590366705e-9,-2.7678599838812046,5,0.25542372374575384
week,104,,10,^GSPC,0.7474328826238705,2.2181294749289985e-13,-3.8126038776847455,4,0.020671017622337272
month,3,,11,^BVSP,0.9282695124011314,0.0022824797450662782,-3.8544157209469416,3,0.022270464037647375
month,6,,11,^BVSP,0.9759031443319754,0.34520355527234303,-1.7860553053789083,3,0.6606704368188046
month,12,,11,^BVSP,0.9708582180288516,0.2734826620879365,-0.2376969863273389,3,0.9896264513631006
month,24,,11,^BVSP,0.9075465799040314,0.005523218116689875,-1.8899020650245355,3,0.6159914143873404
week,13,,11,^BVSP,0.9267045481930799,9.269427977011743e-10,-4.430258785779685,6,0.01
week,26,,11,^BVSP,0.9568101960982202,1.5973131329658225e-6,-3.0419553134251704,6,0.1378537831108058
week,52,,11,^BVSP,0.9430802313713323,2.4280173882690827e-7,-1.678973985565551,5,0.7106247483916217
week,104,,11,^BVSP,0.9638281882111145,3.7806640098299695e-4,-2.138966918430254,5,0.5184022022598753
month,3,,11,^GSPC,0.9704204388211444,0.24072155712128449,-3.128006433677044,3,0.1218185183806483
month,6,,11,^GSPC,0.9104747773462722,0.0015820877649143639,-2.712832447891637,3,0.2899850775486604
month,12,,11,^GSPC,0.9755646856915631,0.5131885995110315,-2.643899891271944,3,0.320295028014968
month,24,,11,^GSPC,0.8465049965304428,6.450223527019931e-4,-2.420141634447314,3,0.4115424058089654
week,13,,11,^GSPC,0.984902877114721,0.021155064245881556,-2.777911388192237,5,0.24966136485555512
week,26,,11,^GSPC,0.9774337136894743,0.0023644206041719827,-2.908046080547155,5,0.1956656554054651
week,52,,11,^GSPC,0.9568721745150578,2.9813855818407834e-5,-3.622322463343162,5,0.03309759788693533
week,104,,11,^GSPC,0.8097768147127515,1.9870587351007257e-11,-3.5959943256698184,4,0.03652507896768259
month,3,,12,^BVSP,0.5703048195522411,1.1673643212932773e-11,-3.6106293063007797,3,0.040202511231453325
month,6,,12,^BVSP,0.9510320065530138,0.02759537204776374,-1.9145062338012646,3,0.6089382868299378
month,12,,12,^BVSP,0.9103085805714195,0.0013765229808713236,-1.3376178456539418,3,0.8386510201062531
month,24,,12,^BVSP,0.9287349700824341,0.022916280838894618,-6.069206369244093,3,0.01
week,13,,12,^BVSP,0.9917818889874503,0.1787516958451741,-2.8163516876912906,6,0.2321469075880345
week,26,,12,^BVSP,0.973465048524655,2.0957319916560887e-4,-3.265882058497857,6,0.07768632358369047
week,52,,12,^BVSP,0.9340953948358192,3.9374487824014184e-8,-3.6313952970940484,5,0.03154865986683372
week,104,,12,^BVSP,0.9091092433721827,2.3426754882648535e-8,-3.051522163827142,5,0.13789339567303574
month,3,,12,^GSPC,0.9653121293509539,0.14830625255405294,-4.216553491303865,3,0.01
month,6,,12,^GSPC,0.981451773788585,0.6530199458360275,-2.373517047123762,3,0.42519743091302575
month,12,,12,^GSPC,0.9608934421931037,0.1690208144263887,-2.313410348139326,3,0.45028108234441466
month,24,,12,^GSPC,0.8172139335164765,1.7275425193220555e-4,-1.957461407748455,3,0.588916462431108
week,13,,12,^GSPC,0.9848860136849626,0.021024474650873697,-3.50761610279657,5,0.04310931018924087
week,26,,12,^GSPC,0.9552606814549329,5.392000247825995e-6,-3.4003922170759777,5,0.05600129715400377
week,52,,12,^GSPC,0.80001702303934,2.6964683616430984e-14,-4.070091775589051,5,0.01
week,104,,12,^GSPC,0.6810970985131739,4.076926880984343e-15,-4.085687518402189,4,0.01
month,3,,13,^BVSP,0.712451677224267,3.6497643473177235e-9,-2.6108670832988636,3,0.32827940189561955
month,6,,13,^BVSP,0.9564670485833873,0.051359691942531885,-1.9659712524190145,3,0.5881580791229566
month,12,,13,^BVSP,0.946602478998458,0.03191985397063937,-1.0363119749602925,3,0.9225383702103508
month,24,,13,^BVSP,0.831016703883619,8.803189243655628e-5,-1.2563356816645215,3,0.8618187995866738
week,13,,13,^BVSP,0.9472322773132904,8.18355667965142e-8,-4.363207828003004,6,0.01
week,26,,13,^BVSP,0.9550526504790172,1.064435744093766e-6,-2.659018287618874,6,0.29887139374294214
week,52,,13,^BVSP,0.9217447203542415,4.327745535985124e-9,-2.1430027150399424,5,0.5160961161014703
